"Name","Main Media","ID","Slug","Page Url"
"New Products","wix:image://v1/11062b_48847c551ef8497ea8b45207e8a735ea~mv2.jpg/file.jpg#originWidth=3749&originHeight=5000","7aa7331a-83b6-481c-9391-3af4ea8423cd","new-products-1","/category/new-products-1"
"Accessories","wix:image://v1/65e081_78c0d46218c84cafaf1206aac72ba5fb~mv2.jpg/file.jpg#originWidth=5678&originHeight=3785","b461f8bb-0fb4-7fba-6ad4-87019088f117","accessories","/category/accessories"
"Acer","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","2b345d07-75d2-8267-0cff-5f3a4aef0b29","acer","/category/acer"
"All Products","wix:image://v1/6965f4e2b7694112ae98bf41a6dae7a2.jpg/file.jpg#originWidth=3820&originHeight=2762","00000000-000000-000000-000000000001","all-products","/category/all-products"
"Asus","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","692ca1e8-c80e-a420-27e8-07a961b96e3e","asus","/category/asus"
"Best Sellers","wix:image://v1/11062b_ee976b66c6d545efa15f9bfd0c44aedb~mv2.jpeg/file.jpg#originWidth=5000&originHeight=3333","77da8514-fae3-4d57-a244-5b3568bf052a","best-sellers","/category/best-sellers"
"Cable","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","7c3c9c60-b004-d87b-7471-a38f8dd6438b","cable","/category/cable"
"Case","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","9fd1ca9a-4a4f-9e89-0a3c-0e25e280609f","case","/category/case"
"Charger","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","7d98dd32-f907-bc03-3c67-14aeb4ae425b","charger","/category/charger"
"Computers","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","13e5953f-b466-4eeb-8a70-a00ed96f1fe9","computers","/category/computers"
"Dell","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","c6da2852-c53b-c826-9bfa-407a29b6396a","dell","/category/dell"
"Iphone","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","9232a2a6-546e-4a85-a719-17de21ac6ff5","iphone","/category/iphone"
"Laptop","wix:image://v1/11062b_ecc74c47237b49ebad60c6d3a02032d7~mv2.jpg/file.jpg#originWidth=5000&originHeight=3753","55afbcf6-7840-818f-44be-cb3723239d58","laptop","/category/laptop"
"New Products","wix:image://v1/c837a6_c918f54f468140c3898433ee1f3b0e89~mv2.jpg/file.jpg#originWidth=2037&originHeight=2037","839cea46-5a84-3aff-1d15-3c63bd31c76d","new-products","/category/new-products"
"Phone","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","5ada9c9e-995f-8026-aeb4-5162712b247e","phone","/category/phone"
"Sale","wix:image://v1/11062b_e3279e685bf7473caf6c8fe57783d815~mv2.jpeg/file.jpg#originWidth=5000&originHeight=3333","ba50d86c-e59a-3e16-c3ae-5b7e152fb3c3","sale","/category/sale"
"Samsung","wix:image://v1/614034_103e8f4ab0ae4536a38b319d3eb437ed~mv2.png/missing-media.png#originWidth=500&originHeight=500","01e54ae8-f45f-4e5e-9195-306fd4ff0e7f","samsung","/category/samsung"
"Smartphones","wix:image://v1/11062b_f99ee89647c9464a8fb6e1d8ecb0d70b~mv2.jpg/file.jpg#originWidth=3000&originHeight=2000","8ebb477d-ffda-4c30-8b4e-8952f44e3b73","smartphones","/category/smartphones"
"Tablets","wix:image://v1/65e081_31bb68885f824593acbac85a2f85f248~mv2.jpg/file.jpg#originWidth=2592&originHeight=1728","185c6c16-bcd1-4c97-a1a2-48ed998e902d","tablets","/category/tablets"
"Top Sellers","wix:image://v1/c837a6_c918f54f468140c3898433ee1f3b0e89~mv2.jpg/file.jpg#originWidth=2037&originHeight=2037","9ad13e8d-b620-1bbe-d7ad-cc88e39acbc8","top-sellers","/category/top-sellers"
"Xiaomi","wix:image://v1/65e081_31b786e93f144c20b7b4c0cdbe844b04~mv2.png/file.png#originWidth=225&originHeight=225","ba965551-e585-429e-a224-d07215fbedff","xiaomi","/category/xiaomi"
